file_size,size_bytes,algorithm,encryption_time_sec,decryption_time_sec
1 KB,1024,LFSR Stream Cipher,0.003927908999997953,0.003608729999996285
1 KB,1024,AES-CBC,0.019508725999997978,0.000051033000005418216
100 KB,102400,LFSR Stream Cipher,0.37920331200000135,0.3961943649999995
100 KB,102400,AES-CBC,0.0008201600000035114,0.00015636800000606854
1 MB,1048576,LFSR Stream Cipher,4.111811547000002,4.186565290000004
1 MB,1048576,AES-CBC,0.0035141899999899806,0.0007968030000000681
